Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
28001 La Acebeda;;;Renta neta media por hogar;2022;29.297
28002 Ajalvir;;;Renta neta media por hogar;2022;43.032
28003 Alameda del Valle;;;Renta neta media por hogar;2022;33.055
28004 El Alamo;;;Renta neta media por hogar;2022;34.027
28005 Alcala de Henares;;;Renta neta media por hogar;2022;39.439
28006 Alcobendas;;;Renta neta media por hogar;2022;62.298
28007 Alcorcon;;;Renta neta media por hogar;2022;39.129
28008 Aldea del Fresno;;;Renta neta media por hogar;2022;31.233
28009 Algete;;;Renta neta media por hogar;2022;55.001
28010 Alpedrete;;;Renta neta media por hogar;2022;47.565
28011 Ambite;;;Renta neta media por hogar;2022;26.074
28012 Anchuelo;;;Renta neta media por hogar;2022;33.443
28013 Aranjuez;;;Renta neta media por hogar;2022;38.060
28014 Arganda del Rey;;;Renta neta media por hogar;2022;37.574
28015 Arroyomolinos;;;Renta neta media por hogar;2022;51.310
28016 El Atazar;;;Renta neta media por hogar;2022;28.644
28017 Batres;;;Renta neta media por hogar;2022;43.660
28018 Becerril de la Sierra;;;Renta neta media por hogar;2022;42.323
28019 Belmonte de Tajo;;;Renta neta media por hogar;2022;30.818
28020 Berzosa del Lozoya;;;Renta neta media por hogar;2022;34.266
28021 El Berrueco;;;Renta neta media por hogar;2022;34.498
28022 Boadilla del Monte;;;Renta neta media por hogar;2022;82.812
28023 El Boalo;;;Renta neta media por hogar;2022;46.878
28024 Braojos;;;Renta neta media por hogar;2022;33.994
28025 Brea de Tajo;;;Renta neta media por hogar;2022;24.309
28026 Brunete;;;Renta neta media por hogar;2022;43.269
28027 Buitrago del Lozoya;;;Renta neta media por hogar;2022;34.635
28028 Bustarviejo;;;Renta neta media por hogar;2022;34.514
28029 Cabanillas de la Sierra;;;Renta neta media por hogar;2022;41.220
28030 La Cabrera;;;Renta neta media por hogar;2022;38.123
28031 Cadalso de los Vidrios;;;Renta neta media por hogar;2022;29.050
