Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
28001 Acebeda, La;;;Renta neta media por hogar;2023;31.213
28001 Acebeda, La;2800101 Acebeda, La distrito 01;;Renta neta media por hogar;2023;31.213
28001 Acebeda, La;2800101 Acebeda, La distrito 01;2800101001 Acebeda, La sección 01001;Renta neta media por hogar;2023;31.213
28002 Ajalvir;;;Renta neta media por hogar;2023;45.022
28002 Ajalvir;2800201 Ajalvir distrito 01;;Renta neta media por hogar;2023;45.022
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201001 Ajalvir sección 01001;Renta neta media por hogar;2023;47.949
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201002 Ajalvir sección 01002;Renta neta media por hogar;2023;42.727
28003 Alameda del Valle;;;Renta neta media por hogar;2023;34.432
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;;Renta neta media por hogar;2023;34.432
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;2800301001 Alameda del Valle sección 01001;Renta neta media por hogar;2023;34.432
28004 Álamo, El;;;Renta neta media por hogar;2023;36.817
28004 Álamo, El;2800401 Álamo, El distrito 01;;Renta neta media por hogar;2023;36.817
28004 Álamo, El;2800401 Álamo, El distrito 01;2800401001 Álamo, El sección 01001;Renta neta media por hogar;2023;35.455
28004 Álamo, El;2800401 Álamo, El distrito 01;2800401002 Álamo, El sección 01002;Renta neta media por hogar;2023;36.286
28004 Álamo, El;2800401 Álamo, El distrito 01;2800401003 Álamo, El sección 01003;Renta neta media por hogar;2023;36.293
28004 Álamo, El;2800401 Álamo, El distrito 01;2800401004 Álamo, El sección 01004;Renta neta media por hogar;2023;41.865
28005 Alcalá de Henares;;;Renta neta media por hogar;2023;41.866
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;;Renta neta media por hogar;2023;39.086
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501001 Alcalá de Henares sección 01001;Renta neta media por hogar;2023;39.778
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501002 Alcalá de Henares sección 01002;Renta neta media por hogar;2023;40.435
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501003 Alcalá de Henares sección 01003;Renta neta media por hogar;2023;40.900
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501004 Alcalá de Henares sección 01004;Renta neta media por hogar;2023;41.961
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501005 Alcalá de Henares sección 01005;Renta neta media por hogar;2023;46.454
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501006 Alcalá de Henares sección 01006;Renta neta media por hogar;2023;40.361
